,郵遞區號,電腦局號,局名,電腦局名,局址,郵務電話,儲匯電話
,105407,000136-1000509-1,"臺北光復郵局
臺北光復郵局",臺北36支,臺北市松山區八德路三段240號,(02)2570-1157,(02)2578-6944
,104244,000137-5,"臺北大直郵局
臺北大直郵局",臺北37支,臺北市中山區北安路518巷14弄18、20號,(02)2533-4543,
,111064,000142-1,"士林社子郵局
士林社子郵局",臺北42支,臺北市士林區延平北路五段150號,(02)2812-2884,(02)2812-1072
,106231,000143-5,"臺北三張犁郵局
臺北三張犁郵局",臺北43支,臺北市大安區信義路四段337號,(02)2709-6837,(02)2701-5196
,106247,000144-9000510-2,"臺北成功郵局
臺北成功郵局",臺北44支,臺北市大安區四維路198巷38弄12號,(02)2704-3862,(02)2708-1087
,105008,000145-2,"松山機場郵局
松山機場郵局",臺北45支,臺北市松山區敦化北路340-9號(松山機場內 ),(02)2713-3365,
,104297,000146-6,"臺北長安郵局
臺北長安郵局",臺北46支,臺北市中山區長安東路二段97號,(02)2506-8771,(02)2515-0399
,103247,000147-0,"臺北大同郵局
臺北大同郵局",臺北47支,臺北市大同區承德路三段83號,(02)2597-4508,(02)2594-1868
,105063,000148-3,"臺北西松郵局
臺北西松郵局",臺北48支,臺北市松山區南京東路五段311號,(02)2769-7535,(02)2768-2358
,110204,000149-7,"臺北市府郵局
臺北市府郵局",臺北49支,臺北市信義區市府路1號地下2樓(台北市政府內),(02)2720-0690,(02)2720-9930
,103250,000150-9,"臺北大龍峒郵局
臺北大龍峒郵局",臺北50支,臺北市大同區重慶北路三段338號,(02)2597-5098,(02)2586-0105
,110210,000151-2,"臺北松德郵局
臺北松德郵局",臺北51支,臺北市信義區松德路300號(臺北市政府松德辦公大樓1樓),(02)2727-3686,(02)2726-3738
,111029,000152-6,"士林天母郵局
士林天母郵局",臺北52支,臺北市士林區中山北路七段130號,(02)2871-8271,(02)2873-5072
,106233,000153-0,"臺北光武郵局
臺北光武郵局",臺北53支,臺北市大安區大安路一段52巷16號,(02)2781-6693,(02)2721-1634
,110017,000154-3,"臺北吳興郵局
臺北吳興郵局",臺北54支,臺北市信義區莊敬路418號之1,(02)2720-0060,(02)2722-3543
,104223,000155-7000511-6,"臺北松江路郵局
臺北松江路郵局",臺北55支,臺北市中山區松江路366號,(02)2521-6681,(02)2561-8954
,105015,000156-1,"臺北延壽郵局
臺北延壽郵局",臺北56支,臺北市松山區民生東路五段12號,(02)2756-7232,(02)2768-3079
,106224,000157-4,"臺北六張犁郵局
臺北六張犁郵局",臺北57支,臺北市大安區和平東路三段208號,(02)2733-5532,(02)2733-0262
,100213,000158-8,"臺北小南門郵局
臺北小南門郵局",臺北58支,臺北市中正區廣州街15號(內政部移民署地下1樓),(02)2375-9856,
,111001,000159-1,"故宮郵局
故宮郵局",臺北59支,臺北市士林區至善路二段221號(故宮博物院內),(02)2881-8410,
,103261,000161-7,"臺北保安郵局
臺北保安郵局",臺北61支,臺北市大同區重慶北路二段183號,(02)2553-9692,
,100230,000164-8,"臺北火車站郵局
臺北火車站郵局",臺北64支,臺北市中正區北平西路3號(台北火車站內),(02)2311-4239,
,104231,000165-1,"臺北圓山郵局
臺北圓山郵局",臺北65支,臺北市中山區林森北路573號,(02)2592-1606,
,104288,000167-9,"臺北長春路郵局
臺北長春路郵局",臺北67支,臺北市中山區長春路129號之2,(02)2521-6967,(02)2537-3821
,104226,000168-2,"臺北民權郵局
臺北民權郵局",臺北68支,臺北市中山區民權西路22號,(02)2571-6241,(02)2563-8027
,108212,000170-8,"臺北老松郵局
臺北老松郵局",臺北70支,臺北市萬華區桂林路51號,(02)2389-4549,
,100048,000171-1,"臺北汀州郵局
臺北汀州郵局",臺北71支,臺北市中正區汀州路三段301號,(02)2363-7009,
,100062,000172-5,"臺北龍口郵局
臺北龍口郵局",臺北72支,臺北市中正區和平西路二段68號,(02)2309-9158,(02)2303-4060
,111010,000173-9,"士林中正路郵局
士林中正路郵局",臺北73支,臺北市士林區中正路420號,(02)8866-6045,(02)8866-6047
,108245,000174-2,"臺北萬大路郵局
臺北萬大路郵局",臺北74支,臺北市萬華區萬大路524號,(02)2301-2793,(02)2309-7442
,116071,000175-6,"文山興隆路郵局
文山興隆路郵局",臺北75支,臺北市文山區興隆路二段171號,(02)2935-7813,(02)2931-8476
,111063,000177-3,"士林後港郵局
士林後港郵局",臺北77支,臺北市士林區福港街149巷2號,(02)2883-7486,(02)2881-3600
,110068,000178-7,"臺北永吉郵局
臺北永吉郵局",臺北78支,臺北市信義區永吉路168號1樓,(02)2768-4410,(02)2762-0461
,108022,000179-1,"臺北華江橋郵局
臺北華江橋郵局",臺北79支,臺北市萬華區和平西路三段310號,(02)2302-0953,(02)2306-4473
,110054,000180-2,"臺北逸仙郵局
臺北逸仙郵局",臺北80支,臺北市信義區逸仙路46號,(02)2729-0135,(02)2720-8917
,105039,000181-6,"臺北體育場郵局
臺北體育場郵局",臺北81支,臺北市松山區儲匯：南京東路三段346號  郵務：南京東路三段346號後棟,(02)2752-5760,(02)2781-9214
,106238,000182-0,"臺北正義郵局
臺北正義郵局",臺北82支,臺北市大安區忠孝東路三段150、152、154號,(02)2778-2422,(02)2752-8005
,111020,000183-3,"士林蘭雅郵局
士林蘭雅郵局",臺北83支,臺北市士林區忠誠路一段52號,(02)2832-6924,
,100023,000184-7,"臺北杭南郵局
臺北杭南郵局",臺北84支,臺北市中正區杭州南路一段23號之3,(02)2393-8719,
,111002,000186-4,"東吳大學郵局
東吳大學郵局",臺北86支,臺北市士林區臨溪路70號(東吳大學內),(02)2881-5624,
,105065,000187-8,"臺北民生郵局
臺北民生郵局",臺北87支,臺北市松山區民生東路五段191號,(02)2766-2575,(02)2764-4790
,106335,000190-7,"臺灣科大郵局
臺灣科大郵局",臺北90支,臺北市大安區基隆路四段43號(台灣科技大學內),(02)2733-1071,
,106201,000191-1000501-1,"臺北金南郵局
臺北金南郵局",臺北91支,臺北市大安區愛國東路216號,(02)2394-0804,
,100012,000192-4,"臺北中正堂郵局
臺北中正堂郵局",臺北92支,臺北市中正區中山南路21號(中正紀念堂內),(02)2394-2715,
,116063,000193-8,"文山武功郵局
文山武功郵局",臺北93支,臺北市文山區羅斯福路五段147號,(02)2935-6135,(02)2931-4860
,108050,000195-5,"臺北青年郵局
臺北青年郵局",臺北95支,臺北市萬華區國興路34、36、38號,(02)2309-8054,
,106421,000196-9,"臺北安和郵局
臺北安和郵局",臺北96支,臺北市大安區安和路二段61、63號,(02)2704-9228,(02)2708-5519
,116059,000197-2,"文山萬盛郵局
文山萬盛郵局",臺北97支,臺北市文山區汀州路四段88號(師大分部內),(02)2932-0183,
,110028,000199-0,"臺北永春郵局
臺北永春郵局",臺北99支,臺北市信義區忠孝東路五段464、466號,(02)8788-1850,(02)8788-1850-31
,100216,000200-1,"監察院郵局
監察院郵局",臺北100支,臺北市中正區忠孝東路一段2號(監察院東側，面向鎮江街),(02)2392-5345,
,105005,000201-5,"臺北榮星郵局
臺北榮星郵局",臺北101支,臺北市松山區民權東路三段124之1、2號,(02)2712-7615,(02)2715-4680
,104247,000204-6,"臺北北安郵局
臺北北安郵局",臺北104支,臺北市中山區北安路630巷10號,(02)2532-9100,(02)2532-0537
,111026,000205-0,"士林芝山郵局
士林芝山郵局",臺北105支,臺北市士林區德行東路258號,(02)2836-3191,
,111035,000206-3,"士林法院郵局
士林法院郵局",臺北106支,臺北市士林區士東路190號(士林法院內),(02)2836-6049,
,100005,000207-7,"臺北中山堂郵局
臺北中山堂郵局",臺北107支,臺北市中正區中華路一段53號(臺北市立國樂團1樓),(02)2314-8490,
,106230,000208-1,"臺北敦南郵局
臺北敦南郵局",臺北108支,臺北市大安區忠孝東路四段170巷9號,(02)2771-5334,
,110202,000209-4,"臺北世貿郵局
臺北世貿郵局",臺北109支,臺北市信義區信義路五段5號(世貿中心內),(02)2725-2479,
,100214,000210-6,"臺北南門郵局
臺北南門郵局",臺北110支,臺北市中正區廣州街2號(行政院主計總處廣博大樓1樓),(02)2331-6433,
,116080,000211-0,"文山萬芳郵局
文山萬芳郵局",臺北111支,臺北市文山區興隆路三段178、180號,(02)2230-5857,
,104112,000212-3,"臺北興安郵局
臺北興安郵局",臺北112支,臺北市中山區復興北路210、212號,(02)2504-3662,
,100225,000215-4,"臺大醫院郵局
臺大醫院郵局",臺北115支,臺北市中正區中山南路七號(台大醫院內),(02)2397-3983,
,111002,000216-8,"士林外雙溪郵局
士林外雙溪郵局",臺北116支,臺北市士林區明溪街15號,(02)2841-1174,
,106245,000217-1,"臺北大安郵局
臺北大安郵局",臺北117支,臺北市大安區信義路三段89號,(02)2704-4318,(02)2705-3234
,105017,000218-5,"臺北台塑郵局
臺北台塑郵局",臺北118支,臺北市松山區民生東路四段54之2號,(02)2719-3473,
,100218,000220-1,"臺北中聯郵局
臺北中聯郵局",臺北120支,臺北市中正區徐州路5號地下一樓(中央聯合辦公大樓內),(02)2356-6485,
,104262,000221-4,"臺北龍江路郵局
臺北龍江路郵局",臺北121支,臺北市中山區龍江路335號,(02)2501-6754,
,104237,000222-8,"國防部郵局
國防部郵局",臺北122支,臺北市中山區北安路409號(國防部內),(02)8509-9866,
,111013,000223-1,"士林劍潭郵局
士林劍潭郵局",臺北123支,臺北市士林區基河路14號,(02)2885-9559,(02)2885-6043
,112091,000224-5,"陽明山郵局
陽明山郵局",臺北124支,臺北市北投區紗帽路139之1號,(02)2861-6151,(02)2861-6171
,111396,000225-9,"文化大學郵局
文化大學郵局",臺北125支,臺北市士林區華岡路55號(文化大學內),(02)2861-5880,
,111068,000226-2,"士林社新里郵局
士林社新里郵局",臺北126支,臺北市士林區延平北路六段197號,(02)2811-9944,(02)2812-1099
,110065,000228-0,"臺北信義郵局
臺北信義郵局",臺北128支,臺北市信義區松廉路76號(信義投遞中心),(02)2725-3080,
,111021,000229-3,"士林名山里郵局
士林名山里郵局",臺北129支,臺北市士林區至誠路二段70號,(02)2838-6703,
,112006,000231-9000502-5,"北投郵局
北投郵局",臺北131支,臺北市北投區光明路165號,(02)2891-2420,
,112063,000233-6,"北投石牌郵局
北投石牌郵局",臺北133支,臺北市北投區石牌路二段93-2號,(02)2821-4449,
,112020,000234-0,"北投關渡郵局
北投關渡郵局",臺北134支,臺北市北投區知行路293巷9弄11號,(02)2858-1260,
,112058,000235-3,"北投舊北投郵局
北投舊北投郵局",臺北135支,臺北市北投區中央南路一段201號,(02)2891-3104,
,112201,000236-7,"北投榮總郵局
北投榮總郵局",臺北136支,臺北市北投區石牌路二段201號(榮總醫院地下1樓),(02)2872-6742,
,112047,000237-1,"北投文林郵局
北投文林郵局",臺北137支,臺北市北投區文林北路96號,(02)2827-3044,
,112015,000238-4,"北投山腳郵局
北投山腳郵局",臺北138支,臺北市北投區中和街408號,(02)2891-1520,
,112034,000239-8,"北投實踐郵局
北投實踐郵局",臺北139支,臺北市北投區實踐街48巷11號,(02)2822-3054,
,112051,000240-0,"北投致遠郵局
北投致遠郵局",臺北140支,臺北市北投區致遠一路1段121號,(02)2823-0602,
,112013,000241-3,"北投文化郵局
北投文化郵局",臺北141支,臺北市北投區文化三路8號,(02)2891-0330,
,112040,000242-7,"北投明德郵局
北投明德郵局",臺北142支,臺北市北投區明德路210號,(02)2822-6347,
,112036,000243-1,"北投尊賢郵局
北投尊賢郵局",臺北143支,臺北市北投區尊賢街247-4號,(02)2821-5141,
,112005,000244-4,"北投奇岩郵局
北投奇岩郵局",臺北144支,臺北市北投區公館路271號,(02)2892-8444,
,112018,000245-8,"北投豐年郵局
北投豐年郵局",臺北145支,臺北市北投區中央北路二段329號,(02)2893-3596,
,112018,000246-1,"北投一德郵局
北投一德郵局",臺北146支,臺北市北投區中央北路四段529號,(02)2892-1518,
,112304,000247-5,"臺北陽明交大郵局
臺北陽明交大郵局",臺北147支,臺北市北投區立農街二段155號(陽明交大內),(02)2821-6416,
,114020,000248-9000503-9,"內湖郵局
內湖郵局",臺北148支,臺北市內湖區民權東路六段83號,(02)2790-1070-13,(02)2790-1070-11
,114023,000249-2,"內湖碧湖郵局
內湖碧湖郵局",臺北149支,臺北市內湖區內湖路二段225號,(02)2792-2674,(02)2795-4215
,114026,000250-4,"內湖週美郵局
內湖週美郵局",臺北150支,臺北市內湖區新明路380巷4弄4號,(02)2791-0759,
,114035,000251-8,"內湖文德郵局
內湖文德郵局",臺北151支,臺北市內湖區文德路26號,(02)2797-3893,(02)2627-0039
,114052,000252-1,"內湖金龍郵局
內湖金龍郵局",臺北152支,臺北市內湖區內湖路三段131號,(02)2790-3378,
,114004,000253-5,"內湖西湖郵局
內湖西湖郵局",臺北153支,臺北市內湖區內湖路一段331號,(02)2798-7290,(02)2799-1342
,114054,000254-9000512-0,"內湖東湖郵局
內湖東湖郵局",臺北154支,臺北市內湖區康樂街16號,(02)2633-3525,(02)2632-3853
,114041,000255-2,"內湖大湖郵局
內湖大湖郵局",臺北155支,臺北市內湖區大湖街166巷2號,(02)2792-6045,
,114063,000256-6,"內湖江南郵局
內湖江南郵局",臺北156支,臺北市內湖區瑞光路316巷1號,(02)2657-2428,
,114061,000257-0,"內湖北勢湖郵局
內湖北勢湖郵局",臺北157支,臺北市內湖區內湖路一段91巷2-1號,(02)2799-4021,
,114066,000258-3,"內湖舊宗郵局
內湖舊宗郵局",臺北158支,臺北市內湖區舊宗路一段189號,(02)2792-7970,
,114046,000259-7,"內湖康寧郵局
內湖康寧郵局",臺北159支,臺北市內湖區康寧路三段22號之1,(02)2633-4746,
,114202,000260-9,"內湖三總郵局
內湖三總郵局",臺北160支,臺北市內湖區成功路二段325號2樓(三軍總醫院內),(02)8791-2867,
,115008,000261-2000513-3,"南港昆陽郵局
南港昆陽郵局",臺北161支,臺北市南港區忠孝東路六段400、402、404、406號,(02)2651-4945,
,115024,000262-6,"中研院郵局
中研院郵局",臺北162支,臺北市南港區研究院路二段108號(中研院內外均可進出),(02)2782-3553,(02)2788-0823
,115004,000264-3,"南港港三郵局
南港港三郵局",臺北164支,臺北市南港區南港路三段184號,(02)2783-1409,
,115021,000265-7,"南港富康郵局
南港富康郵局",臺北165支,臺北市南港區研究院路1段99之3號,(02)2783-7204,
,115006,000266-1,"南港同德郵局
南港同德郵局",臺北166支,臺北市南港區同德路85巷2號,(02)2653-4350,(02)2786-8549
,115029,000267-4000504-2,"南港郵局
南港郵局",臺北167支,臺北市南港區南港路二段78號,(02)2785-0141,
,115005,000268-8,"南港福德郵局
南港福德郵局",臺北168支,臺北市南港區福德街314、316號,(02)2785-1709,
,115025,000269-1,"南港後山埤郵局
南港後山埤郵局",臺北169支,臺北市南港區忠孝東路五段994號,(02)2786-7814,
,116644,000270-3000505-6,"木柵郵局
木柵郵局",臺北170支,臺北市文山區木柵路三段27號,(02)2939-2781-20,(02)2939-2781-11
,116011,000271-7,"文山指南郵局
文山指南郵局",臺北171支,臺北市文山區指南路二段115號,(02)2939-3767,
,116005,000272-1,"文山溝子口郵局
文山溝子口郵局",臺北172支,臺北市文山區木柵路1段119號,(02)2236-0561,
,116019,000273-4,"文山木新郵局
文山木新郵局",臺北173支,臺北市文山區木新路3段329號,(02)2936-0439,(02)2938-6373
,223002,000274-8,"石碇郵局
石碇郵局",臺北174支,新北市石碇區碇坪路1段78-80號,(02)2663-1833,
,222004,000275-1,"深坑郵局
深坑郵局",臺北175支,新北市深坑區北深路3段30號,(02)2662-1005,
,116301,000276-5,"世新大學郵局
世新大學郵局",臺北176支,臺北市文山區木柵路1段17巷1號(世新大學內),(02)2236-4310,
,100020,000277-9,"臺北仁杭郵局
臺北仁杭郵局",臺北177支,臺北市中正區杭州南路１段24號1樓(交通部大樓國際會議廳),(02)2395-5573,
,116018,000278-2,"文山樟腳里郵局
文山樟腳里郵局",臺北178支,臺北市文山區木新路3段25號,(02)2939-9424,
,116302,000279-6,"政大郵局
政大郵局",臺北179支,臺北市文山區指南路2段64號(國立政治大學藝文中心內),(02)2938-7146,
,223011,000280-8,"石碇華梵大學郵局
石碇華梵大學郵局",臺北180支,新北市石碇區豐田里華梵路1號(石碇華梵大學內),(02)2663-2697,
,222001,000281-1,"深坑草地尾郵局
深坑草地尾郵局",臺北181支,新北市深坑區北深路3段264號之1,(02)2664-2140,
,226001,000282-5,"平溪郵局
平溪郵局",臺北182支,新北市平溪區平溪街42號,(02)2495-1062,
,116025,000283-9,"文山萬美街郵局
文山萬美街郵局",臺北183支,臺北市文山區萬美街1段51號,(02)2230-8803,
,893013,000284-2,"金門郵局
金門郵局",臺北184支,金門縣金城鎮民生路４號,(082)32-5823,
,890006,000285-6,"金門沙美郵局
金門沙美郵局",臺北185支,金門縣金沙鎮國中路21號,(082)35-2557,
,892009,000286-0,"金門金寧郵局
金門金寧郵局",臺北186支,金門縣金寧鄉仁愛新邨137、138號,(082)32-5787,
,894021,000287-3,"金門烈嶼郵局
金門烈嶼郵局",臺北187支,金門縣烈嶼鄉林湖村西宅7之5號,(082)36-2171,
,891003,000288-7,"金門尚義郵局
金門尚義郵局",臺北188支,金門縣金湖鎮尚義機場2號(金門尚義機場內),(082)31-1955,
,209002,000289-1,"馬祖郵局
馬祖郵局",臺北189支,連江縣南竿鄉福沃村141號,(0836)22050,
,209004,000290-2,"馬祖馬港郵局
馬祖馬港郵局",臺北190支,連江縣南竿鄉馬祖村84號,(0836)22217,
,115603,000291-6,"南港軟體園區郵局
南港軟體園區郵局",臺北191支,臺北市南港區園區街3-2號H棟1樓,(02)2785-5033,
,104252,000292-0,"臺北樂群二路郵局
臺北樂群二路郵局",臺北192支,臺北市中山區樂群二路147號,(02)8502-3327,
,891005,000350-0,"金門山外郵局
金門山外郵局",臺北250支,金門縣金湖鎮林森路39號,(082)33-3741,
,211041,000353-1,"馬祖西莒郵局
馬祖西莒郵局",臺北253支,連江縣莒光鄉西莒青帆村17號,(0836)88170,
,210005,000354-4,"馬祖北竿郵局
馬祖北竿郵局",臺北254支,連江縣北竿鄉塘岐村256號,(0836)55363,
,211091,000355-8,"馬祖東莒郵局
馬祖東莒郵局",臺北255支,連江縣莒光鄉東莒大坪村55號,(0836)89036,
,212041,000356-1,"馬祖東引郵局
馬祖東引郵局",臺北256支,連江縣東引鄉樂華村69號,(0836)77276,
,896001,000357-5,"金門烏坵郵局
金門烏坵郵局",臺北257支,金門縣烏坵鄉大坵村,(0826)66038,
,200009,001100-2001500-4,"基隆愛三路郵局
基隆愛三路郵局",基隆901支,基隆市仁愛區愛三路130號1F,(02)2421-0113,(02)2421-0148
,202005,001101-6,"基隆港東郵局
基隆港東郵局",基隆1支,基隆市中正區中正路56號,(02)2421-0156,
,200002,001102-0,"基隆港西街郵局
基隆港西街郵局",基隆2支,基隆市仁愛區港西街10號,(02)2421-0157,
,206005,001103-3,"基隆七堵郵局
基隆七堵郵局",基隆3支,基隆市七堵區明德一路171號,(02)2456-1286,
,202008,001104-7,"基隆中正郵局
基隆中正郵局",基隆4支,基隆市中正區中正路393巷18號,(02)2462-3324,
,203001,001105-1,"基隆新民郵局
基隆新民郵局",基隆5支,基隆市中山區新民路19號,(02)2421-0158,
,202008,001106-4,"基隆和平島郵局
基隆和平島郵局",基隆6支,基隆市中正區和一路129號,(02)2462-2371,
,202301,001107-8,"海洋大學郵局
海洋大學郵局",基隆7支,基隆市中正區北寧路2號(海洋大學內),(02)2462-1990,
,205002,001108-1,"基隆過港路郵局
基隆過港路郵局",基隆8支,基隆市暖暖區過港路58號,(02)2457-2339,
,200002,001109-5,"基隆孝三路郵局
基隆孝三路郵局",基隆9支,基隆市仁愛區孝三路62號,(02)2421-0159,
,203004,001110-7,"基隆中山郵局
基隆中山郵局",基隆10支,基隆市中山區中華路3號,(02)2421-0160,
,202012,001111-1,"基隆八斗子郵局
基隆八斗子郵局",基隆11支,基隆市中正區八斗街14號,(02)2469-2134,
,201012,001112-4,"基隆信義郵局
基隆信義郵局",基隆12支,基隆市信義區信二路178號,(02)2421-0161,
,201013,001113-8,"基隆東信路郵局
基隆東信路郵局",基隆13支,基隆市信義區東信路123號,(02)2465-7502,
,206007,001114-1,"基隆六堵郵局
基隆六堵郵局",基隆14支,基隆市七堵區工東街64號,(02)2451-2153,
,202005,001115-5,"基隆安瀾橋郵局
基隆安瀾橋郵局",基隆15支,基隆市中正區中正路330號,(02)2462-1989,
,200012,001116-9,"基隆仁二路郵局
基隆仁二路郵局",基隆16支,基隆市仁愛區仁二路19號,(02)2421-0162,
,200003,001117-2,"基隆光二路郵局
基隆光二路郵局",基隆17支,基隆市仁愛區光二路1號,(02)2431-8895,
,204017,001118-6,"基隆樂利郵局
基隆樂利郵局",基隆18支,基隆市安樂區樂利三街261號,(02)2432-8638,
,200007,001119-0,"基隆南榮路郵局
基隆南榮路郵局",基隆19支,基隆市仁愛區南榮路20號,(02)2421-0163,
,205008,001120-1,"基隆碇內郵局
基隆碇內郵局",基隆20支,基隆市暖暖區源遠路341號,(02)2457-6082,
,204011,001121-5,"基隆安樂路郵局
基隆安樂路郵局",基隆21支,基隆市安樂區安樂路二段132號,(02)2431-5275,
,203010,001122-9,"基隆復興路郵局
基隆復興路郵局",基隆22支,基隆市中山區復興路38號,(02)2437-8290,
,206009,001124-6,"基隆百福郵局
基隆百福郵局",基隆24支,基隆市七堵區百五街93號,(02)2451-2891,
,202003,001125-0,"基隆三沙灣郵局
基隆三沙灣郵局",基隆25支,基隆市中正區中船路112巷28號,(02)2421-0165,
,204007,001126-3,"基隆大武崙郵局
基隆大武崙郵局",基隆26支,基隆市安樂區基金一路131-24號,(02)2432-4246,
,228003,001128-1,"貢寮郵局
貢寮郵局",基隆28支,新北市貢寮區貢寮街50號,(02)2494-1127,
,228004,001129-4,"貢寮澳底郵局
貢寮澳底郵局",基隆29支,新北市貢寮區仁和路230號,(02)2490-1002,
,207003,001130-6,"萬里郵局
萬里郵局",基隆30支,新北市萬里區瑪鋉路48號,(02)2492-2042,
,205004,001131-0,"基隆暖暖郵局
基隆暖暖郵局",基隆31支,基隆市暖暖區暖暖街190號,(02)2458-4870,
,208005,001132-3,"金山郵局
金山郵局",基隆32支,新北市金山區中山路97號,(02)2498-2140,
,227004,001133-7,"雙溪郵局
雙溪郵局",基隆33支,新北市雙溪區太平路81號,(02)2493-1291,
,224001,001134-1,"瑞芳郵局
瑞芳郵局",基隆34支,新北市瑞芳區中正路13號,(02)2497-2158,
,224008,001135-4,"瑞芳九份郵局
瑞芳九份郵局",基隆35支,新北市瑞芳區基山街126號,(02)2497-2854,
,224005,001136-8,"瑞芳四腳亭郵局
瑞芳四腳亭郵局",基隆36支,新北市瑞芳區大埔路132-1號,(02)2457-7730,
,224010,001137-1,"瑞芳金瓜石郵局
瑞芳金瓜石郵局",基隆37支,新北市瑞芳區金光路51-1號,(02)2496-1419,
,202014,001138-5,"基隆新豐街郵局
基隆新豐街郵局",基隆38支,基隆市中正區新豐街482號2樓,(02)2460-1533,
,221036,001139-9001501-8,"汐止郵局
汐止郵局",基隆39支,新北市汐止區大同路三段168號,(02)8648-2866,
,221006,001141-4,"汐止樟樹灣郵局
汐止樟樹灣郵局",基隆41支,新北市汐止區大同路一段322號,(02)2641-8422,
